,Hop,Origin,Description,Alpha Acid_lpct,Alpha Acid_upct,Beta Acid_lpct,Beta Acid_upct,Myrcene_lpct,Myrcene_upct,Farnesene_lpct,Farnesene_upct,Geraniol_lpct,Geraniol_upct,Caryophyllene_lpct,Caryophyllene_upct,Humulene_lpct,Humulene_upct,Co-humulone_lpct,Co-humulone_upct,Linalool_lpct,Linalool_upct,B-Pinene_lpct,B-Pinene_upct,total_lpct,total_upct
0,Admiral,United Kingdom,A high alpha hop with balanced bitterness and an acceptable aroma profile; a versatile replacement for both high alpha and dual purpose varieties.,13.0,16.0,4.0,6.0,39.0,48.0,0.0,2.0,0.0,0.0,6.0,8.0,23.0,26.0,37.0,45.0,0.3830380423806595,0.6610465471644349,0.47056583699068594,0.7628520781539293,1.0,1.7
1,Ahtanum®,United States,"Bred by Select Botanicals Group, Ahtanum® Brand YCR 1 is an aroma-type cultivar used for its aromatic properties and moderate bittering. The hop is named after the location where Charles Carpenter established the first hop farm east of the Cascade Mountains in Washington State in 1869.
",3.5,6.5,4.0,6.0,45.0,55.0,0.0,1.0,0.4,0.7,9.0,12.0,15.0,22.0,30.0,34.0,0.4,0.6,0.6,0.9,0.5,1.7
2,Amarillo®,United States,"Discovered and introduced by Virgil Gamache Farms in Washington State, Amarillo® Brand VGXP01 cv. is an aroma variety that has recently become one of the top 10 varieties utilized by the craft beer industry. It features relatively high alpha acids along with extremely high levels of myrcene for citrus and grapefruit flavors. As a result, it is an excellent dual purpose variety. Amarillo demonstrates good resistance to downy and powdery mildew.",7.0,11.0,5.5,8.0,40.0,50.0,6.0,9.0,0.1,0.1,7.0,10.0,19.0,24.0,20.0,24.0,0.5,0.8,0.4,0.8,1.0,2.3
3,Aramis,France,"Closely resembling Strisselspalt, but with higher oil and alpha content, Aramis is the first variety from the Comptoir Agricole breeding program.",7.9,8.3,3.8,4.5,39.0,41.0,2.0,4.0,0.0,0.0,7.3,7.5,20.9,21.1,20.0,21.0,0.4932558553734337,0.6618839752303743,0.4366829055326182,0.5456199430443842,1.2,1.6
4,Aurora,Slovenia,"A diploid hybrid of Northern Brewer and a TG seedling of unknown origin, Aurora displays an intense yet pleasant aroma in finished beers. It is also known as Super Styrian.",7.0,13.0,2.7,4.4,20.0,25.0,5.0,10.0,0.0,0.0,6.0,9.0,20.0,25.0,20.0,26.0,0.29554104022958705,0.5219458365175638,0.2102191942960283,0.45110586045474294,0.9,1.6
5,Bitter Gold,United States,"Released in 1999, Bitter Gold is a high alpha variety with excellent aroma capabilities. Its lineage includes Brewer's Gold, Bullion, Comet and Fuggle. Bitter Gold offers limited aroma when used as a bittering hop but delivers diverse stone and tropical fruit flavors in later additions.",12.0,14.5,4.5,6.0,45.0,55.0,0.0,1.0,0.1,0.1,7.0,11.0,10.0,18.0,36.0,41.0,0.4,0.7,0.6,0.9,1.0,2.0
6,Blanc,Germany,"Released in 2012, Hallertau Blanc is one of several new German varieties with bold flavor profiles, perfect for American-style Ales.",9.0,12.0,4.5,5.5,50.0,75.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,22.0,26.0,0.530510053935284,0.925668652910142,0.6719409771021985,1.0256471049123206,1.2,1.5
7,Bobek,Slovenia,A world-renowned couplet with moderate bitterness.,3.5,7.0,4.0,6.1,30.0,45.0,4.0,7.0,0.0,0.0,4.0,6.0,13.0,19.0,27.0,31.0,0.41457714661974693,0.735338081983857,0.3787263684886165,0.6999523329292264,0.7,4.0
8,Bramling Cross,United Kingdom,Developed at Wye College by Professor Salmon. Often used in traditional cask conditioned beers due to its distinct characteristics.,5.0,7.0,2.3,3.2,35.0,37.0,0.0,1.0,0.0,0.0,14.9,15.1,29.9,30.1,33.0,35.0,0.45964072130714323,0.6333756578820758,0.38169201981869455,0.6220027228614188,0.7,1.0
9,Bravo,United States,"Developed by Hopsteiner Breeding Company and released in 2006, Bravo is a second generation super-alpha variety. It is an excellent bittering variety but showcases pleasant fruit and sweet floral aroma characteristics too.",15.0,18.0,3.5,5.5,55.0,60.0,0.0,1.0,0.7,0.9,6.0,8.0,8.0,11.0,28.0,35.0,0.4,0.6,0.8,1.0,2.3,3.5
10,Brewers Gold,United States,"Bred at Wye College in 1919, Brewer’s Gold is an ancestor to many major high alpha hops including Sterling, Galena, Horizon, Centennial and Nugget. It is an English variety, however American-grown Brewer’s Gold contains higher levels of alpha acids than its English counterpart.",8.0,11.0,4.0,6.5,45.0,60.0,0.0,1.0,1.0,1.0,8.0,12.0,12.0,18.0,40.0,48.0,0.5,0.8,0.6,0.9,1.5,3.0
11,Brewers Gold,Germany,"Originally bred in the United Kingdom by professor E.S. Salmon, Brewer's Gold has a high resin content and gives a well-balanced bitterness which is ideally complemented by late hop additions in lager beers.",4.5,6.5,2.5,3.5,40.0,50.0,0.0,1.0,0.0,0.0,7.0,8.0,29.0,31.0,40.0,48.0,0.49762921566581825,0.8108348301487956,0.4888650595174961,0.7378053203330764,0.8,1.8
12,Bullion,United States,"Strong and zesty blackcurrant characteristics. A major hop variety since the mid-1940s, however, product ceased in 1985 due to super alpha hops with better storage stability. Commonly used in darker beers.",8.1,8.2,4.1,4.6,40.0,55.0,0.0,1.0,0.1,0.1,9.0,14.0,15.0,25.0,38.0,40.0,0.5,0.8,0.6,0.8,1.0,2.0
13,Cascade,United States,"Originating from the USDA-ARA breeding program, Cascade is an aroma-type cultivar bred in 1956 and released in 1972. It was developed by open pollination of a Fuggle seedling. Cascade is the most popular variety in craft brewing and is known for having a unique floral, spicy and citrus character with balanced bittering potential.",5.5,9.0,6.0,7.5,45.0,60.0,6.0,9.0,0.2,0.2,5.0,9.0,14.0,20.0,30.0,35.0,0.3,0.6,0.5,0.8,0.8,2.5
14,Celeia,Slovenia,"A hybrid of Styrian Golding, Aurora and a Slovenia wild hop, Celeia is known for its noble characteristics. It has widespread usage in lager and ale-style beers.",3.0,6.0,2.0,3.3,26.0,35.0,3.0,7.0,0.0,0.0,8.0,9.0,18.0,23.0,26.0,29.0,0.3840405589426371,0.6385636331393502,0.30454793623524296,0.5792428933875684,0.6,3.6
15,Centennial,United States,"Bred in 1974 and released by Washington State University in 1990, Centennial is an aroma-type cultivar that has found favor as one of the most popular varieties in craft brewing. It is often referred to as a super-Cascade (containing nearly double the alpha content) and can be used for bittering purposes. Centennial is a diploid cross between Brewer's Gold and a USDA male.",7.0,12.0,3.5,5.5,55.0,65.0,0.0,1.0,1.2,1.8,5.0,7.0,10.0,20.0,23.0,27.0,0.6,0.9,0.8,1.0,1.0,3.0
